id,temperature,vibration,humidity,pressure,energy_consumption,maintenance_required
1,78.61,28.65,79.96,3.73,2.16,0
2,68.19,57.28,35.94,3.64,0.69,0
3,98.94,50.2,72.06,1,2.49,1
4,90.91,37.65,30.34,3.15,4.96,1
5,72.32,40.69,56.71,2.68,0.63,1
6,70.88,38.38,51.01,3.19,3.24,0
7,73.05,40.7,61.59,2.35,1.63,0
8,90,56.52,48.32,3.3,3.3,0
9,96.04,24.98,50.47,1.59,3.08,1
10,55.33,49.29,33.85,2.14,3.74,0
11,88.37,64.76,45.96,3.92,4.56,0
12,72.11,64.04,59.26,4.71,1.32,0
13,66.77,64.09,74.44,1.39,1.46,0
14,86.18,32.36,55.08,1.42,4.16,1
15,75.82,39.06,43.64,3.53,4.86,0
16,88.68,87.77,49.77,1.25,4.45,1
17,84.52,28.09,45.96,2.81,3.36,0
18,78.32,84.93,51.55,2.59,2.09,1
19,91.23,29.83,41.12,4.63,4.97,1
20,73.48,51.3,69.85,3.38,3.42,0
21,64.03,63.46,65.56,2.02,4.17,0
22,94.18,40.98,36.73,2.01,2.28,1
23,72.63,54.66,32.72,3.07,2.97,0
24,76.73,34.86,32.64,3.31,1.65,1
25,69.38,56.62,68.21,1.52,1.39,0
26,76.01,40.21,59.8,4.28,1.63,0
27,78.2,67.54,68.1,3.44,2.63,1
28,63.88,53.75,68.01,1.87,2.84,1
29,64.1,48,51,4.52,4.54,0
30,66.17,48.3,74.99,2.21,1.94,1
31,73.73,61.02,51.34,1.28,2.8,1
32,79.33,52.54,49.11,2.75,1.23,0
33,87.96,53.87,68.93,1.79,3.69,0
34,99.5,46.89,79.74,4.41,3.67,1
35,76.8,55.46,33.91,2.52,3.22,0
36,70.49,59.54,65.34,3.1,1.88,0
37,51.2,51.25,68.35,1.05,2.27,0
38,77.59,58.72,62.55,3.4,0.88,0
39,73.3,27.21,56.6,3.31,2.54,0
40,71.43,22.92,36.7,2.2,1.1,0
41,68.43,57.68,51.61,2.53,2.87,0
42,68.74,43.34,30.73,2.26,1.41,0
43,78.29,39.54,36.67,3.31,4.44,0
44,81.42,50.89,31.1,4.88,2.06,1
45,74.74,67.02,62.18,1.47,3.16,0
46,82.87,43.56,40.24,3.88,3.89,0
47,87.87,53.7,61.73,1.05,4.29,0
48,74.07,40.16,48.02,3.59,1.15,0
49,87.23,34.52,69.53,2.84,4.15,0
50,65.48,52.79,79.91,4.7,4.19,0
51,77.9,25.44,75.39,4.32,2.15,0
52,71.17,28.69,37.5,1.97,2.13,0
53,79.91,34.26,30.48,4.77,2.29,0
54,53.44,44.55,37.44,1.36,0.69,0
55,86.77,46.53,54.98,3.12,4.96,0
56,74.52,58.27,32.55,1.6,1.51,0
57,79.34,49.78,32.06,4.32,3.11,0
58,67.14,45.96,31.58,1.29,3.17,0
59,91.69,67.85,36.84,2.88,4.53,1
60,78.45,34.43,47.17,4.18,4.35,0
61,71.2,47.66,70.6,3.5,1.53,0
62,54.03,45.08,70.4,3.95,1.03,0
63,71.52,46.58,40.45,2.34,1.17,1
64,51.81,42.04,58.43,3.12,2.28,0
65,76.28,24.34,34.01,4.27,1.05,0
66,80.91,39.63,45.18,3.38,1.84,0
67,82.09,65.62,38.92,2.82,3.86,1
68,66.42,73.41,32.2,4.6,0.53,1
69,68.67,31.55,52.29,3.34,2.71,0
70,74.07,47.1,78.4,4.64,3.06,0
71,69.53,20.19,63.27,2.58,0.87,1
72,58.4,66.31,35.52,4.95,4.67,0
